AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,TRV,UNH,V,VZ,WBA,WMT
93979700,3255100,3714600,8894300,3585400,7382500,25961800,8428300,22373300,9009800,3409100,4945400,4226800,5871300,49826500,11074700,10704700,18972100,4742800,3429300,13342800,34620200,12597500,1403300,7034300,9601000,22981000,13101300,6423600
73374100,2812800,3666500,5598300,3217700,6580100,21091300,9722400,20598000,5484400,2609100,6394800,3074000,5293500,39395300,6581500,11085600,16361000,3357400,2615300,8958200,31123300,7134900,1427300,5238400,5796100,23028500,8301900,12508600
89868300,2763200,2916900,7207900,3371000,8116100,19318000,7747300,15801900,4445700,3192400,9290400,2367400,4727100,40933200,9351000,14038300,13295800,5429100,2515100,7965900,31390100,7242900,1445900,5103800,7316100,25074100,6767500,25516200
64218300,2443500,2635300,4438600,3062000,6454700,24939600,7941100,11137700,4294900,2303700,5249500,2446900,3445200,35582800,5500900,7893400,14199500,4132700,3208300,8757700,24093300,5998700,1073700,3430800,6125300,18962200,4833200,10864400
80389400,2172000,2769600,4878600,3256900,7357900,38887800,6550500,12306400,3620400,2297600,3642100,2689300,3954000,31983300,4464100,8820200,11212600,2467400,2249000,8496800,23123500,5252900,1315200,4246300,5385600,18780400,5910300,8263800
74829600,2371700,2631300,4693200,2868700,7555700,30843200,7661500,10011700,3751300,2384500,3559300,2974700,4661700,27122200,6555700,9468500,10415600,2699200,3176100,11626300,27613500,5498900,1470500,3566000,8028500,17821700,6945100,6329000
58724100,2795100,2003500,3501800,2522600,8015900,17049500,8432900,70273500,5719800,1877500,4069000,2346500,3476200,36086800,5706600,7800500,15399400,2974200,2153500,8899300,26394700,4774800,1208100,3349600,10450900,19184200,5107800,7052400
51804100,3636000,2124600,4370600,2523300,7017700,16367800,9018000,25753700,4495500,2019400,6054700,2516400,7062100,25584100,4707900,9185700,12319600,2770400,1757100,8295700,19665700,5313200,1137900,2567400,5273100,19809500,5697300,5632800
58301400,2875600,1404400,3523500,2311300,5558900,12065600,5831200,15503200,3354800,1865400,4243400,2686700,3658200,23143900,5389200,7316200,8990400,2514800,2349700,5749600,19508500,3873100,1120300,2238300,3807300,14170000,3889500,5640200
35195900,1220700,665800,3476900,1034800,3023700,8492600,2796400,6664300,1648100,1129300,3393500,1119900,2075200,11314900,3058600,3220500,5165500,1596600,882400,3163700,9200800,3426100,514700,1419200,1993500,7725700,2225500,2925800
