Date,Open,High,Low,Close*,Adj Close**,Volume
14-Jul-22,"30,451.80","30,680.12","30,143.93","30,630.17","30,630.17","325,130,000"
13-Jul-22,"30,743.63","30,979.17","30,514.61","30,772.79","30,772.79","291,830,000"
12-Jul-22,"31,113.31","31,346.10","30,860.51","30,981.33","30,981.33","324,190,000"
11-Jul-22,"31,277.98","31,367.55","31,114.40","31,173.84","31,173.84","245,020,000"
8-Jul-22,"31,348.43","31,511.46","31,212.45","31,338.15","31,338.15","238,120,000"
7-Jul-22,"31,190.65","31,421.84","31,154.64","31,384.55","31,384.55","296,620,000"
6-Jul-22,"30,957.30","31,224.69","30,794.84","31,037.68","31,037.68","289,800,000"
5-Jul-22,"30,903.12","30,971.74","30,355.12","30,967.82","30,967.82","323,080,000"
1-Jul-22,"30,737.77","31,139.35","30,487.79","31,097.26","31,097.26","310,440,000"
30-Jun-22,"30,790.00","30,979.85","30,431.87","30,775.43","30,775.43","394,070,000"
29-Jun-22,"31,067.41","31,152.96","30,894.53","31,029.31","31,029.31","269,390,000"
28-Jun-22,"31,549.05","31,885.09","30,934.33","30,946.99","30,946.99","350,780,000"
27-Jun-22,"31,533.60","31,598.59","31,351.37","31,438.26","31,438.26","309,910,000"
24-Jun-22,"30,846.94","31,517.29","30,846.94","31,500.68","31,500.68","465,480,000"
23-Jun-22,"30,570.33","30,715.63","30,293.40","30,677.36","30,677.36","361,420,000"
22-Jun-22,"30,352.57","30,777.92","30,166.01","30,483.13","30,483.13","343,490,000"
21-Jun-22,"30,074.69","30,653.98","30,074.69","30,530.25","30,530.25","376,900,000"
17-Jun-22,"29,912.70","30,167.52","29,653.29","29,888.78","29,888.78","692,830,000"
16-Jun-22,"30,305.74","30,305.74","29,740.35","29,927.07","29,927.07","442,910,000"
15-Jun-22,"30,570.50","31,011.97","30,185.08","30,668.53","30,668.53","392,670,000"
14-Jun-22,"30,592.34","30,690.80","30,144.23","30,364.83","30,364.83","366,800,000"
13-Jun-22,"31,144.91","31,144.91","30,373.72","30,516.74","30,516.74","472,290,000"
10-Jun-22,"32,053.52","32,053.52","31,387.84","31,392.79","31,392.79","362,300,000"
9-Jun-22,"32,828.62","32,956.73","32,267.78","32,272.79","32,272.79","289,710,000"
8-Jun-22,"33,087.07","33,156.50","32,824.37","32,910.90","32,910.90","270,470,000"
7-Jun-22,"32,783.03","33,207.45","32,641.85","33,180.14","33,180.14","270,750,000"
6-Jun-22,"33,032.04","33,235.37","32,819.50","32,915.78","32,915.78","253,010,000"
3-Jun-22,"32,986.32","33,135.61","32,839.21","32,899.70","32,899.70","298,570,000"
2-Jun-22,"32,809.01","33,248.61","32,509.43","33,248.28","33,248.28","333,210,000"
1-Jun-22,"33,156.31","33,272.34","32,584.76","32,813.23","32,813.23","338,210,000"
31-May-22,"33,160.59","33,240.22","32,752.34","32,990.12","32,990.12","533,560,000"
27-May-22,"32,735.09","33,213.62","32,682.01","33,212.96","33,212.96","328,770,000"
26-May-22,"32,248.17","32,774.14","32,248.17","32,637.19","32,637.19","351,220,000"
25-May-22,"31,816.31","32,254.44","31,754.33","32,120.28","32,120.28","343,460,000"
24-May-22,"31,717.61","32,014.86","31,365.59","31,928.62","31,928.62","382,950,000"
23-May-22,"31,395.89","31,968.42","31,395.89","31,880.24","31,880.24","402,010,000"
20-May-22,"31,426.94","31,515.78","30,635.76","31,261.90","31,261.90","495,510,000"
19-May-22,"31,262.62","31,569.13","31,016.41","31,253.13","31,253.13","517,190,000"
18-May-22,"32,468.67","32,468.67","31,393.95","31,490.07","31,490.07","465,060,000"
17-May-22,"32,427.00","32,689.14","32,308.15","32,654.59","32,654.59","389,310,000"
16-May-22,"32,152.15","32,514.02","31,928.18","32,223.42","32,223.42","330,030,000"
13-May-22,"31,963.86","32,276.05","31,862.79","32,196.66","32,196.66","388,520,000"
12-May-22,"31,699.04","31,914.46","31,228.22","31,730.30","31,730.30","544,240,000"
11-May-22,"32,123.24","32,584.02","31,798.86","31,834.11","31,834.11","458,460,000"
10-May-22,"32,504.09","32,752.17","31,887.89","32,160.74","32,160.74","439,290,000"
9-May-22,"32,685.17","32,685.17","32,121.98","32,245.70","32,245.70","470,770,000"
6-May-22,"32,773.88","33,055.84","32,474.69","32,899.37","32,899.37","416,520,000"
5-May-22,"33,854.17","33,854.17","32,685.10","32,997.97","32,997.97","448,420,000"
4-May-22,"33,171.80","34,117.74","33,021.84","34,061.06","34,061.06","411,060,000"
3-May-22,"33,086.09","33,341.58","32,914.75","33,128.79","33,128.79","364,420,000"
2-May-22,"32,978.49","33,224.95","32,449.87","33,061.50","33,061.50","453,390,000"
29-Apr-22,"33,787.01","33,919.59","32,913.15","32,977.21","32,977.21","501,560,000"
28-Apr-22,"33,425.96","34,054.79","33,248.46","33,916.39","33,916.39","440,380,000"
27-Apr-22,"33,450.92","33,697.18","33,108.89","33,301.93","33,301.93","447,230,000"
26-Apr-22,"33,907.49","33,909.51","33,230.95","33,240.18","33,240.18","400,020,000"
25-Apr-22,"33,731.65","34,106.01","33,323.37","34,049.46","34,049.46","416,900,000"
22-Apr-22,"34,727.38","34,727.38","33,773.39","33,811.40","33,811.40","373,280,000"
21-Apr-22,"35,258.80","35,492.22","34,723.82","34,792.76","34,792.76","366,390,000"
20-Apr-22,"34,962.67","35,315.40","34,962.67","35,160.79","35,160.79","337,620,000"
19-Apr-22,"34,394.62","34,983.11","34,394.62","34,911.20","34,911.20","296,350,000"
18-Apr-22,"34,411.49","34,618.29","34,279.08","34,411.69","34,411.69","264,110,000"
14-Apr-22,"34,628.46","34,889.17","34,437.50","34,451.23","34,451.23","353,680,000"
13-Apr-22,"34,166.64","34,598.36","34,140.64","34,564.59","34,564.59","313,630,000"
12-Apr-22,"34,412.51","34,669.97","34,102.81","34,220.36","34,220.36","333,510,000"
11-Apr-22,"34,630.27","34,701.34","34,272.29","34,308.08","34,308.08","333,290,000"
8-Apr-22,"34,569.24","34,908.46","34,470.19","34,721.12","34,721.12","301,750,000"
7-Apr-22,"34,439.24","34,705.83","34,190.95","34,583.57","34,583.57","319,870,000"
6-Apr-22,"34,520.34","34,609.84","34,277.17","34,496.51","34,496.51","386,250,000"
5-Apr-22,"34,876.33","35,112.21","34,566.04","34,641.18","34,641.18","304,010,000"
4-Apr-22,"34,799.98","34,940.78","34,615.38","34,921.88","34,921.88","316,570,000"
1-Apr-22,"34,740.89","34,847.91","34,538.25","34,818.27","34,818.27","340,400,000"
31-Mar-22,"35,201.52","35,201.52","34,677.99","34,678.35","34,678.35","433,400,000"
30-Mar-22,"35,273.63","35,361.36","35,058.58","35,228.81","35,228.81","317,320,000"
